id,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_id,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_id,redemption_handgun,redemption_long_gun,redemption_other,returned_id,returned_handgun,returned_long_gun,returned_other,rentals_id,rentals_handgun,rentals_long_gun,private_sale_id,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_id,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
1,2023-07,Alabama,10197,96,15324,9081,1285,877,0,1,21,3,2,1,2078,788,23,1,75,0,0,1,0,0,1,32,21,7,1,0,0,0,39910
2,2023-07,Alaska,147,17,2644,2149,280,205,0,2,1,0,0,2,120,68,1,2,19,9,0,2,0,0,2,2,0,0,2,0,0,0,5662
3,2023-07,Arizona,9910,2843,14812,6957,1568,833,0,3,24,6,1,3,1064,369,9,3,221,18,2,3,0,0,3,12,4,1,3,0,0,0,38654
4,2023-07,Arkansas,2912,327,5552,4050,433,400,3,4,4,5,1,4,995,685,3,4,0,0,0,4,0,0,4,5,7,1,4,0,0,0,15383
5,2023-07,California,30393,14309,30198,18567,3953,0,0,5,1,0,0,5,609,463,66,5,3203,1237,91,5,0,0,5,7393,3010,601,5,44,16,0,114154
6,2023-07,Colorado,8015,6,15430,9647,1422,1493,0,6,0,0,0,6,0,0,0,6,274,37,0,6,0,0,6,0,0,0,6,0,0,0,36324
7,2023-07,Connecticut,6320,522,4347,1494,379,0,3,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,378,128,13,7,0,0,0,13584
8,2023-07,Delaware,691,0,1740,772,83,65,0,8,0,0,0,8,21,3,0,8,61,0,0,8,0,0,8,42,16,1,8,0,2,0,3497
9,2023-07,District of Columbia,739,0,237,9,1,2,32,9,0,0,0,9,0,0,0,9,0,0,31,9,0,0,9,0,0,0,9,0,0,0,1051
10,2023-07,Florida,8746,0,59086,18577,4796,3047,0,10,18,3,0,10,3746,843,3,10,1496,105,2,10,0,0,10,262,127,63,10,46,51,0,101017
11,2023-07,Georgia,10499,0,14937,6725,957,697,0,11,13,4,0,11,1963,638,13,11,70,3,0,11,0,0,11,8,0,1,11,0,0,1,36529
